CH01	-14.75	74.14	-4.61
CH02	-40.31	64.77	-3.76
CH03	-59.05	46.87	-3.76
CH04	-70.98	22.17	-3.76
CH05	0.59	74.14	11.57
CH06	-27.53	69.03	9.87
CH07	-50.53	53.69	10.72
CH08	-65.02	34.95	10.72
CH09	-73.54	9.39	9.02
CH10	-13.90	70.73	23.50
CH11	-37.75	60.51	24.35
CH12	-53.09	42.61	25.21
CH13	-67.57	21.31	25.21
CH14	0.59	64.77	37.13
CH15	-24.12	62.21	35.43
CH16	-42.86	46.87	37.13
CH17	-56.50	29.83	37.13
CH18	-67.57	8.53	36.28
CH19	-11.34	57.10	47.36
CH20	-30.08	48.58	48.21
CH21	-42.86	34.09	49.91
CH22	-53.94	17.05	49.06
