CH1	-85.00	-18.00	39.00
CH2	-78.00	-35.00	59.00
CH3	-63.00	-51.00	74.00
CH4	-41.00	-63.00	89.00
CH5	-16.00	-69.00	95.00
CH6	16.00	-68.00	94.00
CH7	42.00	-60.00	86.00
CH8	64.00	-49.00	70.00
CH9	76.00	-31.00	54.00
CH10	81.00	-13.00	34.00
CH11	-88.00	-18.00	19.00
CH12	-86.00	-39.00	41.00
CH13	-73.00	-56.00	59.00
CH14	-54.00	-70.00	74.00
CH15	-29.00	-79.00	84.00
CH16	1.00	-81.00	86.00
CH17	31.00	-77.00	82.00
CH18	55.00	-66.00	70.00
CH19	71.00	-51.00	54.00
CH20	83.00	-33.00	35.00
CH21	84.00	-13.00	14.00
CH22	-88.00	-40.00	21.00
CH23	-80.00	-57.00	41.00
CH24	-65.00	-74.00	56.00
CH25	-42.00	-85.00	69.00
CH26	-16.00	-91.00	75.00
CH27	16.00	-90.00	73.00
CH28	43.00	-83.00	67.00
CH29	65.00	-67.00	54.00
CH30	79.00	-53.00	35.00
CH31	86.00	-35.00	17.00
CH32	-90.00	-40.00	-1.00
CH33	-84.00	-58.00	21.00
CH34	-71.00	-74.00	39.00
CH35	-52.00	-90.00	51.00
CH36	-28.00	-96.00	62.00
CH37	1.00	-98.00	63.00
CH38	30.00	-95.00	59.00
CH39	54.00	-86.00	50.00
CH40	70.00	-72.00	33.00
CH41	81.00	-53.00	15.00
CH42	88.00	-34.00	-5.00
CH43	-83.00	-58.00	-0.00
CH44	-75.00	-73.00	20.00
CH45	-61.00	-90.00	33.00
CH46	-39.00	-99.00	45.00
CH47	-15.00	-104.00	50.00
CH48	15.00	-105.00	49.00
CH49	41.00	-99.00	44.00
CH50	62.00	-85.00	33.00
CH51	74.00	-71.00	13.00
CH52	83.00	-54.00	-4.00
