CH1	38.04	24.56	50.37
CH2	25.24	38.16	50.37
CH3	10.04	48.56	47.97
CH4	-10.76	48.56	48.77
CH5	-26.76	39.76	50.37
CH6	-39.56	26.96	50.37
CH7	-49.16	10.16	50.37
CH8	-58.76	-10.64	47.97
CH9	-59.56	-35.44	49.57
CH10	-49.96	-55.44	53.57
CH11	50.84	18.16	39.17
CH12	38.84	37.36	37.57
CH13	22.84	52.56	36.77
CH14	0.44	56.56	38.37
CH15	-22.76	54.16	37.57
CH16	-40.36	40.56	37.57
CH17	-53.16	22.16	38.37
CH18	-61.16	1.36	40.77
CH19	-67.56	-25.84	35.97
CH20	-60.36	-50.64	39.97
CH21	-45.16	-69.84	43.17
CH22	49.24	30.96	27.17
CH23	34.84	50.96	26.37
CH24	13.24	62.96	24.77
CH25	-13.96	63.76	25.57
CH26	-36.36	52.56	26.37
CH27	-52.36	34.16	26.37
CH28	-64.36	11.76	27.17
CH29	-69.16	-13.84	25.57
CH30	-69.16	-41.84	25.57
CH31	-56.36	-64.24	28.77
CH32	60.44	20.56	14.37
CH33	46.84	43.76	11.97
CH34	26.84	60.56	11.17
CH35	0.44	67.76	11.97
CH36	-27.56	62.96	11.97
CH37	-48.36	47.76	11.97
CH38	-63.56	25.36	13.57
CH39	-68.36	0.56	15.17
CH40	-70.76	-28.24	13.57
CH41	-63.56	-55.44	15.97
CH42	-49.16	-77.84	16.77
CH43	55.64	33.36	-0.83
CH44	38.84	55.76	-1.63
CH45	14.84	67.76	-2.43
CH46	-14.76	67.76	-2.43
CH47	-40.36	58.16	-2.43
CH48	-58.76	37.36	-1.63
CH49	-69.16	11.76	-0.83
CH50	-70.76	-14.64	-0.03
CH51	-69.96	-43.44	0.77
CH52	-58.76	-68.24	2.37
TEMPLATE Colin27(541mm)
