CH1	40.78	-93.12	0.53
CH2	15.99	-103.38	2.24
CH3	-14.79	-104.24	3.09
CH4	-41.30	-95.69	0.53
CH5	51.90	-81.15	13.35
CH6	28.81	-97.40	15.92
CH7	0.60	-101.67	16.77
CH8	-28.47	-98.25	15.92
CH9	-51.56	-83.72	14.21
CH10	40.78	-86.28	29.60
CH11	15.13	-94.83	29.60
CH12	-14.79	-95.69	30.45
CH13	-39.59	-88.85	28.74
CH14	49.33	-72.60	39.86
CH15	27.10	-87.14	41.57
CH16	0.60	-91.41	43.28
CH17	-26.76	-87.99	41.57
CH18	-48.99	-75.17	42.42
CH19	37.36	-74.31	54.39
CH20	14.28	-83.72	54.39
CH21	-13.94	-85.43	54.39
CH22	-37.02	-77.73	53.54

TEMPLATE Colin27(572mm)
