CH1	-88.00	-15.00	-4.00
CH2	-86.00	15.00	-6.00
CH3	-78.00	41.00	-8.00
CH4	-63.00	65.00	-9.00
CH5	-89.00	-28.00	11.00
CH6	-86.00	1.00	9.00
CH7	-83.00	29.00	8.00
CH8	-71.00	55.00	6.00
CH9	-53.00	74.00	7.00
CH10	-87.00	-12.00	26.00
CH11	-84.00	17.00	24.00
CH12	-76.00	41.00	19.00
CH13	-60.00	62.00	20.00
CH14	-87.00	-25.00	37.00
CH15	-83.00	3.00	38.00
CH16	-77.00	28.00	36.00
CH17	-63.00	49.00	35.00
CH18	-48.00	68.00	34.00
CH19	-80.00	-9.00	53.00
CH20	-74.00	17.00	50.00
CH21	-66.00	37.00	45.00
CH22	-52.00	55.00	46.00
