CH1	-68.66	-41.82	42.42
CH2	-72.08	-15.32	37.29
CH3	-70.37	11.19	27.89
CH4	-64.38	35.13	14.21
CH5	-59.25	-52.94	53.54
CH6	-64.38	-27.29	53.54
CH7	-66.09	1.78	44.13
CH8	-60.96	26.58	33.87
CH9	-51.56	49.66	18.48
CH10	-53.27	-39.26	65.51
CH11	-55.83	-10.19	59.52
CH12	-54.12	17.17	50.12
CH13	-47.28	42.82	36.44
CH14	-40.44	-49.52	74.91
CH15	-46.43	-22.16	72.35
CH16	-43.86	6.91	65.51
CH17	-40.44	32.56	53.54
CH18	-32.75	55.65	39.00
CH19	-31.89	-32.42	80.90
CH20	-34.46	-5.06	74.91
CH21	-31.89	22.30	68.07
CH22	-24.20	46.24	55.25
