CH1	-87.00	-18.00	24.00
CH2	-85.00	6.00	23.00
CH3	-80.00	33.00	19.00
CH4	-68.00	56.00	12.00
CH5	-87.00	-34.00	39.00
CH6	-84.00	-5.00	37.00
CH7	-80.00	20.00	36.00
CH8	-69.00	45.00	30.00
CH9	-54.00	69.00	20.00
CH10	-82.00	-21.00	52.00
CH11	-78.00	6.00	51.00
CH12	-68.00	34.00	45.00
CH13	-55.00	58.00	38.00
CH14	-75.00	-37.00	64.00
CH15	-72.00	-7.00	63.00
CH16	-64.00	19.00	61.00
CH17	-53.00	44.00	56.00
CH18	-38.00	69.00	46.00
CH19	-66.00	-22.00	74.00
CH20	-59.00	5.00	73.00
CH21	-50.00	32.00	68.00
CH22	-36.00	55.00	62.00
