CH1	-69.28	-56.22	-1.21
CH2	-76.94	-28.95	-1.21
CH3	-73.54	0.01	-1.21
CH4	-69.28	28.13	-1.21
CH5	-63.31	-68.15	13.28
CH6	-75.24	-43.44	14.13
CH7	-75.24	-14.47	13.28
CH8	-72.68	14.50	13.28
CH9	-61.61	39.21	14.13
CH10	-67.57	-54.51	28.61
CH11	-75.24	-28.10	18.39
CH12	-71.83	0.01	27.76
CH13	-65.02	26.43	25.21
CH14	-59.90	-64.74	38.84
CH15	-70.13	-40.03	40.54
CH16	-70.13	-13.62	39.69
CH17	-65.02	12.79	38.84
CH18	-52.24	32.39	40.54
CH19	-59.90	-47.70	54.17
CH20	-69.28	-25.55	44.80
CH21	-58.20	0.01	52.47
CH22	-52.24	21.31	49.91

TEMPLATE Colin27(570mm)
