CH1	85.00	-14.00	-8.00
CH2	88.00	-43.00	-6.00
CH3	77.00	-68.00	-3.00
CH4	63.00	-92.00	0.00
CH5	84.00	2.00	6.00
CH6	86.00	-27.00	8.00
CH7	81.00	-53.00	12.00
CH8	71.00	-78.00	10.00
CH9	54.00	-97.00	20.00
CH10	83.00	-11.00	22.00
CH11	85.00	-38.00	22.00
CH12	76.00	-62.00	28.00
CH13	63.00	-86.00	29.00
CH14	80.00	4.00	35.00
CH15	82.00	-23.00	30.00
CH16	79.00	-48.00	37.00
CH17	70.00	-72.00	34.00
CH18	54.00	-89.00	44.00
CH19	77.00	-8.00	48.00
CH20	79.00	-32.00	49.00
CH21	72.00	-54.00	51.00
CH22	60.00	-75.00	55.00
