CH1	61.30	30.85	11.64
CH2	68.14	8.62	23.61
CH3	67.29	-14.46	33.87
CH4	64.72	-40.97	39.86
CH5	51.04	46.24	14.21
CH6	60.45	24.01	29.60
CH7	63.87	0.93	41.57
CH8	62.16	-27.29	49.26
CH9	53.61	-55.50	51.83
CH10	47.62	40.26	33.87
CH11	53.61	16.32	46.70
CH12	55.32	-10.19	56.96
CH13	51.90	-38.40	62.94
CH14	33.09	54.79	35.58
CH15	40.78	31.71	50.97
CH16	45.06	7.77	61.23
CH17	44.20	-21.30	69.78
CH18	37.36	-50.37	72.35
CH19	25.39	44.53	52.68
CH20	32.23	22.30	65.51
CH21	33.94	-3.35	74.06
CH22	31.38	-30.71	79.19
